Machine,Store,Journal,Hyp,Hyp_Sched,VM_Sched,RCU,F_size,R_Size,Threads,Mode,Freq,Throughput
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5899789.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6081563.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5470925.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5303317.06
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,7229078.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6463741.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6887090.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6237289.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5878699.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6155789.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5614344.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6169007.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5238738.69
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4973968.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5194574.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5971060.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5747902.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5430217.56
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5838811.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,7229078.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4396503.56
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4714108.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4126082.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6959963.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5772153.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6128994.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6190167.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5919495.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7480363.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5954134.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,4039416.91
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5637875.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7080471.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7180055.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7655786.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5937809.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7776138.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6930115.56
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5769352.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7216633.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6685528.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6042508.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7675782.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6920369.31
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6013349.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,8579391.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,8417728.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5932021.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7289741.44
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6539703.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6590989.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6333108.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6940740.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,8733360.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7290383.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,4708630.81
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5469863.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6880926.56
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6285594.06
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6238945.56
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7633971.69
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6048431.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6042508.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7608232.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7180055.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,4976312.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5308330.06
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5774425.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5528143.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,8473496.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7574202.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,8675284.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6575424.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7165771.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7470021.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6112336.31
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,4705501.31
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5700446.06
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5685688.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,4833160.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6499427.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5762507.69
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7983467.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6618381.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,3987729.53
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,3763977.7
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5065760.95
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5487403.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,7439560.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5357574.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,6365003.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,4,Fread,1200000,5431620.12
