,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
4318,m03,SSD,1200000,32768,1024,16,82,3,random-readers,8094910.12,20
4319,m03,SSD,1200000,32768,1024,16,82,4,random-writers,5444348.94,20
3578,m03,SSD,1200000,32768,1024,16,83,1,initial-writers,2714222.65,21
3579,m03,SSD,1200000,32768,1024,16,83,2,rewriters,5105898.78,21
3580,m03,SSD,1200000,32768,1024,16,83,3,random-readers,14633924.44,21
3581,m03,SSD,1200000,32768,1024,16,83,4,random-writers,5519798.62,21
6928,m03,SSD,1200000,32768,1024,16,84,1,initial-writers,2653431.50,21
6929,m03,SSD,1200000,32768,1024,16,84,2,rewriters,5168284.88,21
6930,m03,SSD,1200000,32768,1024,16,84,3,random-readers,13193627.56,21
6931,m03,SSD,1200000,32768,1024,16,84,4,random-writers,5205644.23,21
7256,m03,SSD,1200000,32768,1024,16,85,1,initial-writers,2700157.76,21
7257,m03,SSD,1200000,32768,1024,16,85,2,rewriters,4863314.05,21
7258,m03,SSD,1200000,32768,1024,16,85,3,random-readers,10973796.72,21
7259,m03,SSD,1200000,32768,1024,16,85,4,random-writers,5011391.69,21
8404,m03,SSD,1200000,32768,1024,16,86,1,initial-writers,2688020.07,21
8405,m03,SSD,1200000,32768,1024,16,86,2,rewriters,5091408.09,21
8406,m03,SSD,1200000,32768,1024,16,86,3,random-readers,12078544.17,21
8407,m03,SSD,1200000,32768,1024,16,86,4,random-writers,5577691.41,21
5380,m03,SSD,1200000,32768,1024,16,87,1,initial-writers,2767403.42,21
5381,m03,SSD,1200000,32768,1024,16,87,2,rewriters,5027702.98,21
5382,m03,SSD,1200000,32768,1024,16,87,3,random-readers,10971791.44,21
5383,m03,SSD,1200000,32768,1024,16,87,4,random-writers,5697103.33,21
3942,m03,SSD,1200000,32768,1024,16,88,1,initial-writers,2734992.91,21
3943,m03,SSD,1200000,32768,1024,16,88,2,rewriters,5468600.91,21
3944,m03,SSD,1200000,32768,1024,16,88,3,random-readers,10336116.80,21
3945,m03,SSD,1200000,32768,1024,16,88,4,random-writers,5519088.94,21
2664,m03,SSD,1200000,32768,1024,16,89,1,initial-writers,2758848.95,21
