data,host,media,freq,fsize,rsize,threads,test,iter,throughput,runtime
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,27,5962861.72,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,28,5868706.59,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,29,6452221.75,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,30,6311376.5,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,31,6747426.38,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,32,5508244.66,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,33,6326338.41,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,34,6026415.97,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,35,5842712.5,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,36,5921551.38,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,37,6706283.75,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,38,5942182.62,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,39,6346417.34,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,40,6028478.19,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,41,6786080.88,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,42,5402729.22,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,43,6793261.12,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,44,6273392.12,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,45,6328361.97,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,46,5796735.34,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,47,6330590.84,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,48,6262666.38,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,49,6345322.25,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,50,6179443.91,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,51,6116725.38,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,52,6098367.91,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,53,6240567.31,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,54,5079307.7,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,55,6308464.31,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,56,5996325.28,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,57,6382443.38,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,58,6198325.59,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,59,5873259.16,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,60,6324856.44,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,61,6066327.62,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,62,5840676.72,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,63,6686096.94,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,64,6470959.94,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,65,5863582.75,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,66,6056615.34,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,67,6312463.47,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,68,6555263.38,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,69,6620274.97,22
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,70,6495233.03,22
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,71,5803254.09,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,72,6412218.06,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,73,6027439.5,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,74,6798240.22,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,75,6680589.0,21
