,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
16609,m03,SSD,1200000,32768,1024,16,77,4,random-writers,5667829.12,21
11554,m03,SSD,1200000,32768,1024,16,78,1,initial-writers,4542009.05,21
11555,m03,SSD,1200000,32768,1024,16,78,2,rewriters,5302444.34,21
11556,m03,SSD,1200000,32768,1024,16,78,3,random-readers,14746706.78,21
11557,m03,SSD,1200000,32768,1024,16,78,4,random-writers,5635781.56,21
10888,m03,SSD,1200000,32768,1024,16,79,1,initial-writers,4556337.02,20
10889,m03,SSD,1200000,32768,1024,16,79,2,rewriters,5049143.56,20
10890,m03,SSD,1200000,32768,1024,16,79,3,random-readers,13094199.94,20
10891,m03,SSD,1200000,32768,1024,16,79,4,random-writers,5542723.59,20
9878,m03,SSD,1200000,32768,1024,16,80,1,initial-writers,4555795.03,20
9879,m03,SSD,1200000,32768,1024,16,80,2,rewriters,5339082.31,20
9880,m03,SSD,1200000,32768,1024,16,80,3,random-readers,10894979.78,20
9881,m03,SSD,1200000,32768,1024,16,80,4,random-writers,5759990.98,20
16048,m03,SSD,1200000,32768,1024,16,81,1,initial-writers,4530928.05,21
16049,m03,SSD,1200000,32768,1024,16,81,2,rewriters,5463732.61,21
16050,m03,SSD,1200000,32768,1024,16,81,3,random-readers,13888525.94,21
16051,m03,SSD,1200000,32768,1024,16,81,4,random-writers,5980776.48,21
13016,m03,SSD,1200000,32768,1024,16,82,1,initial-writers,4585843.59,20
13017,m03,SSD,1200000,32768,1024,16,82,2,rewriters,5543941.84,20
13018,m03,SSD,1200000,32768,1024,16,82,3,random-readers,12639202.47,20
13019,m03,SSD,1200000,32768,1024,16,82,4,random-writers,5306737.33,20
12278,m03,SSD,1200000,32768,1024,16,83,1,initial-writers,4569257.25,20
12279,m03,SSD,1200000,32768,1024,16,83,2,rewriters,5518683.67,20
12280,m03,SSD,1200000,32768,1024,16,83,3,random-readers,11050232.00,20
12281,m03,SSD,1200000,32768,1024,16,83,4,random-writers,5942887.27,20
15628,m03,SSD,1200000,32768,1024,16,84,1,initial-writers,4605720.62,20
15629,m03,SSD,1200000,32768,1024,16,84,2,rewriters,5254243.56,20
15630,m03,SSD,1200000,32768,1024,16,84,3,random-readers,12441844.69,20
15631,m03,SSD,1200000,32768,1024,16,84,4,random-writers,5968848.70,20
15956,m03,SSD,1200000,32768,1024,16,85,1,initial-writers,4581858.77,21
15957,m03,SSD,1200000,32768,1024,16,85,2,rewriters,5315682.17,21
15958,m03,SSD,1200000,32768,1024,16,85,3,random-readers,13659173.83,21
15959,m03,SSD,1200000,32768,1024,16,85,4,random-writers,5840235.83,21
17104,m03,SSD,1200000,32768,1024,16,86,1,initial-writers,4595055.11,21
17105,m03,SSD,1200000,32768,1024,16,86,2,rewriters,5451627.66,21
17106,m03,SSD,1200000,32768,1024,16,86,3,random-readers,13177553.25,21
17107,m03,SSD,1200000,32768,1024,16,86,4,random-writers,6010909.27,21
14080,m03,SSD,1200000,32768,1024,16,87,1,initial-writers,4539650.50,21
14081,m03,SSD,1200000,32768,1024,16,87,2,rewriters,5311944.36,21
14082,m03,SSD,1200000,32768,1024,16,87,3,random-readers,10545490.25,21
14083,m03,SSD,1200000,32768,1024,16,87,4,random-writers,5552022.62,21
12642,m03,SSD,1200000,32768,1024,16,88,1,initial-writers,4582811.14,20
12643,m03,SSD,1200000,32768,1024,16,88,2,rewriters,5423605.88,20
12644,m03,SSD,1200000,32768,1024,16,88,3,random-readers,15132359.37,20
12645,m03,SSD,1200000,32768,1024,16,88,4,random-writers,5615836.22,20
