,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
3283,m04,SSD,1200000,32768,1024,16,25,2,rewriters,6081587.73,21,96516394,891352966,9504977,6087662,18552153,6057133,606535103,21087,2446,8203886263,652028,892196625,77970,167017,2986360919,25342
3284,m04,SSD,1200000,32768,1024,16,25,3,random-readers,10638022.94,21,96516394,891352966,9504977,6087662,18552153,6057133,606535103,21087,2446,8203886263,652028,892196625,77970,167017,2986360919,25342
3285,m04,SSD,1200000,32768,1024,16,25,4,random-writers,6063497.59,21,96516394,891352966,9504977,6087662,18552153,6057133,606535103,21087,2446,8203886263,652028,892196625,77970,167017,2986360919,25342
1062,m04,SSD,1200000,32768,1024,16,26,1,initial-writers,4135727.17,21,102272756,834105457,8336569,7517737,21249337,5981255,614070083,15275,2438,8043513559,363872,977285965,67065,22412,3136239303,25672
1063,m04,SSD,1200000,32768,1024,16,26,2,rewriters,5550839.30,21,102272756,834105457,8336569,7517737,21249337,5981255,614070083,15275,2438,8043513559,363872,977285965,67065,22412,3136239303,25672
1064,m04,SSD,1200000,32768,1024,16,26,3,random-readers,13324074.19,21,102272756,834105457,8336569,7517737,21249337,5981255,614070083,15275,2438,8043513559,363872,977285965,67065,22412,3136239303,25672
1065,m04,SSD,1200000,32768,1024,16,26,4,random-writers,5798552.33,21,102272756,834105457,8336569,7517737,21249337,5981255,614070083,15275,2438,8043513559,363872,977285965,67065,22412,3136239303,25672
4900,m04,SSD,1200000,32768,1024,16,27,1,initial-writers,4150208.86,21,91453512,921545859,9763849,5339095,17840942,6472358,629829345,22307,4514,7890261942,871529,867771975,87866,233697,3024647051,25403
4901,m04,SSD,1200000,32768,1024,16,27,2,rewriters,5916521.84,21,91453512,921545859,9763849,5339095,17840942,6472358,629829345,22307,4514,7890261942,871529,867771975,87866,233697,3024647051,25403
4902,m04,SSD,1200000,32768,1024,16,27,3,random-readers,12039888.81,21,91453512,921545859,9763849,5339095,17840942,6472358,629829345,22307,4514,7890261942,871529,867771975,87866,233697,3024647051,25403
4903,m04,SSD,1200000,32768,1024,16,27,4,random-writers,5873788.27,21,91453512,921545859,9763849,5339095,17840942,6472358,629829345,22307,4514,7890261942,871529,867771975,87866,233697,3024647051,25403
3632,m04,SSD,1200000,32768,1024,16,28,1,initial-writers,4174763.11,21,100313186,884954079,9782562,6249774,19901942,5606937,543868617,11480,1311,8288526298,1043067,941674836,115551,336795,2584199430,25276
3633,m04,SSD,1200000,32768,1024,16,28,2,rewriters,5656572.27,21,100313186,884954079,9782562,6249774,19901942,5606937,543868617,11480,1311,8288526298,1043067,941674836,115551,336795,2584199430,25276
3634,m04,SSD,1200000,32768,1024,16,28,3,random-readers,11215793.38,21,100313186,884954079,9782562,6249774,19901942,5606937,543868617,11480,1311,8288526298,1043067,941674836,115551,336795,2584199430,25276
3635,m04,SSD,1200000,32768,1024,16,28,4,random-writers,6093759.69,21,100313186,884954079,9782562,6249774,19901942,5606937,543868617,11480,1311,8288526298,1043067,941674836,115551,336795,2584199430,25276
4944,m04,SSD,1200000,32768,1024,16,29,1,initial-writers,3944364.17,21,89697552,876094942,9591347,5370460,17115081,6383985,615919044,21375,2350,7965623429,852238,914308303,124444,238215,3019931731,25637
4945,m04,SSD,1200000,32768,1024,16,29,2,rewriters,5811497.55,21,89697552,876094942,9591347,5370460,17115081,6383985,615919044,21375,2350,7965623429,852238,914308303,124444,238215,3019931731,25637
4946,m04,SSD,1200000,32768,1024,16,29,3,random-readers,13414501.69,21,89697552,876094942,9591347,5370460,17115081,6383985,615919044,21375,2350,7965623429,852238,914308303,124444,238215,3019931731,25637
4947,m04,SSD,1200000,32768,1024,16,29,4,random-writers,5903913.81,21,89697552,876094942,9591347,5370460,17115081,6383985,615919044,21375,2350,7965623429,852238,914308303,124444,238215,3019931731,25637
5334,m04,SSD,1200000,32768,1024,16,30,1,initial-writers,4073074.72,21,91552434,912952391,8946097,6769275,18887066,6616204,663524738,21442,2515,7857063346,596975,826493642,69128,139645,3249491169,25305
5335,m04,SSD,1200000,32768,1024,16,30,2,rewriters,5674257.78,21,91552434,912952391,8946097,6769275,18887066,6616204,663524738,21442,2515,7857063346,596975,826493642,69128,139645,3249491169,25305
5336,m04,SSD,1200000,32768,1024,16,30,3,random-readers,9394855.71,21,91552434,912952391,8946097,6769275,18887066,6616204,663524738,21442,2515,7857063346,596975,826493642,69128,139645,3249491169,25305
5337,m04,SSD,1200000,32768,1024,16,30,4,random-writers,6111561.75,21,91552434,912952391,8946097,6769275,18887066,6616204,663524738,21442,2515,7857063346,596975,826493642,69128,139645,3249491169,25305
1536,m04,SSD,1200000,32768,1024,16,31,1,initial-writers,4177847.02,21,89500431,877961480,9957044,5189213,16905915,6073691,596593933,20685,2434,7602955659,963347,913531684,93730,255268,2915432499,25376
1537,m04,SSD,1200000,32768,1024,16,31,2,rewriters,6107526.62,21,89500431,877961480,9957044,5189213,16905915,6073691,596593933,20685,2434,7602955659,963347,913531684,93730,255268,2915432499,25376
1538,m04,SSD,1200000,32768,1024,16,31,3,random-readers,13982283.50,21,89500431,877961480,9957044,5189213,16905915,6073691,596593933,20685,2434,7602955659,963347,913531684,93730,255268,2915432499,25376
1539,m04,SSD,1200000,32768,1024,16,31,4,random-writers,5796466.23,21,89500431,877961480,9957044,5189213,16905915,6073691,596593933,20685,2434,7602955659,963347,913531684,93730,255268,2915432499,25376
8328,m04,SSD,1200000,32768,1024,16,32,1,initial-writers,4167028.53,21,95745905,1027348870,8289433,7019413,20783373,7354628,718708760,21452,2526,8429522260,545566,801678819,72593,111704,3328477079,25593
8329,m04,SSD,1200000,32768,1024,16,32,2,rewriters,5712097.78,21,95745905,1027348870,8289433,7019413,20783373,7354628,718708760,21452,2526,8429522260,545566,801678819,72593,111704,3328477079,25593
8330,m04,SSD,1200000,32768,1024,16,32,3,random-readers,12451098.75,21,95745905,1027348870,8289433,7019413,20783373,7354628,718708760,21452,2526,8429522260,545566,801678819,72593,111704,3328477079,25593
8331,m04,SSD,1200000,32768,1024,16,32,4,random-writers,5675152.92,21,95745905,1027348870,8289433,7019413,20783373,7354628,718708760,21452,2526,8429522260,545566,801678819,72593,111704,3328477079,25593
7650,m04,SSD,1200000,32768,1024,16,33,1,initial-writers,4177340.48,21,89860792,900985162,9403529,5298707,17088822,6416041,623456835,21952,4070,7803606444,881045,879633788,103701,225961,3083990890,25509
7651,m04,SSD,1200000,32768,1024,16,33,2,rewriters,5643075.33,21,89860792,900985162,9403529,5298707,17088822,6416041,623456835,21952,4070,7803606444,881045,879633788,103701,225961,3083990890,25509
7652,m04,SSD,1200000,32768,1024,16,33,3,random-readers,12268334.38,21,89860792,900985162,9403529,5298707,17088822,6416041,623456835,21952,4070,7803606444,881045,879633788,103701,225961,3083990890,25509
7653,m04,SSD,1200000,32768,1024,16,33,4,random-writers,6055172.84,21,89860792,900985162,9403529,5298707,17088822,6416041,623456835,21952,4070,7803606444,881045,879633788,103701,225961,3083990890,25509
1364,m04,SSD,1200000,32768,1024,16,34,1,initial-writers,4111301.94,21,91496126,862776229,10019378,5314331,16741337,6015468,604321193,20924,2461,7723961158,922862,893735782,89654,228546,2967606091,25373
